genre,name,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,key,tempo
jazz,I Remember You,0.564,0.305,-14.224,0.063,0.794,0.0983,0.152,0.571,10,115.739
jazz,Bye Bye Blackbird,0.557,0.236,-18.582,0.0363,0.531,0.783,0.0868,0.328,7,139.573
jazz,Strasbourg / St. Denis,0.701,0.445,-10.583,0.0834,0.149,0.59,0.0963,0.405,1,103.004
jazz,There Will Never Be Another You,0.588,0.0387,-17.944,0.06,0.978,0.823,0.116,0.342,0,83.4
jazz,I Got It Bad And That Ain't Good,0.488,0.0527,-27.331,0.0478,0.971,0.911,0.0882,0.193,5,49.689
jazz,Dolphin Dance,0.378,0.232,-18.05,0.0303,0.87,0.948,0.1,0.155,0,148.531
jazz,Goodbye Pork Pie Hat,0.356,0.0937,-16.64,0.0353,0.957,0.096,0.209,0.278,8,86.669
jazz,Say It (Over And Over Again),0.488,0.124,-13.038,0.0404,0.963,0.333,0.246,0.205,3,66.105
jazz,Almost Like Being In Love,0.561,0.346,-12.596,0.0409,0.873,0.399,0.104,0.697,0,93.689
jazz,Where or When,0.331,0.0491,-17.538,0.0403,0.99,0.905,0.334,0.331,4,124.657
jazz,A Day In The Life,0.483,0.364,-10.78,0.0265,0.564,0.299,0.0542,0.349,9,98.445
jazz,Skating In Central Park,0.478,0.0294,-25.319,0.0453,0.993,0.948,0.105,0.148,0,124.308
jazz,When Your Lover Has Gone - Instrumental,0.488,0.0871,-14.736,0.0406,0.975,0.634,0.0925,0.181,7,106.581
jazz,Au Privave,0.49,0.476,-13.224,0.0365,0.696,0.00953,0.148,0.778,7,134.826
jazz,"No Problem - Pt. 1 / BOF ""Les liaisons dangereuses""",0.376,0.66,-9.617,0.0551,0.719,0.0354,0.21,0.575,5,186.144
jazz,Misty - Remastered 2020,0.327,0.145,-20.443,0.0397,0.945,0.884,0.091,0.136,5,178.966
jazz,Southbound,0.408,0.43,-10.266,0.0645,0.232,0.431,0.074,0.259,2,82.533
jazz,Cocktails For Two,0.591,0.125,-14.429,0.0469,0.917,0.344,0.0956,0.403,0,83.624
jazz,Angel Eyes - Studio,0.487,0.145,-18.67,0.0522,0.876,0.822,0.149,0.142,5,110.134
jazz,Cool Struttin',0.58,0.48,-7.682,0.0339,0.837,0.00432,0.171,0.48,7,108.892
jazz,Sunday,0.645,0.309,-16.798,0.0416,0.686,5.62e-06,0.243,0.824,0,104.792
jazz,Stella By Starlight,0.581,0.163,-16.612,0.0547,0.926,0.861,0.116,0.448,0,88.101
jazz,You Go to My Head - 2007 Remastered Version,0.585,0.149,-13.139,0.0695,0.921,0.0809,0.0931,0.195,3,67.572
jazz,Take Five,0.454,0.26,-13.193,0.0401,0.539,0.00078,0.0675,0.598,8,174.322
jazz,Maybe Tomorrow,0.52,0.165,-15.827,0.0429,0.958,0.904,0.226,0.115,6,113.999
jazz,Chitlins Con Carne,0.803,0.335,-13.331,0.0451,0.579,0.0128,0.0849,0.786,8,132.682
